z,fixedEffect
0.258248,-0.061655827
-0.2288065,-0.001211658
-0.057613842,-0.003314456
0.43493867,-0.003314456
0.11766719,-0.026431603
0.10394805,-0.048923381
0.94947737,-0.003314456
0.34619749,-0.003314456
1.1114539,0.076546185
0.28976375,-0.003314456
0.64224893,0.13200486
0.039636403,-0.003314456
1.5663686,0.069385998
-0.81457365,-0.049020793
0.20004386,-0.003314456
0.37723583,-0.003314456
0.40801468,0.028050829
-0.83825862,-0.031217972
-1.4164745,-0.003314456
0.66989118,-0.003314456
-0.31153107,-0.003314456
1.4550778,0.070434339
0.76937842,0.11570556
-0.27902675,-0.026575331
-0.09072274,-0.026575331
0.15632828,-0.13676567
0.65720385,-0.070519909
0.59308618,0.000182015
-0.43757856,0.026894975
-0.089497715,-0.003314456
0.51239884,-0.1199441
0.055675916,-0.024230035
-0.85255986,-0.003314456
-0.29100364,-0.003314456
0.92166662,-0.006161689
0.66002423,-0.003314456
0.12149089,-0.003314456
0.2216797,0.10893339
0.27587453,0.002525137
0.42762879,0.10664744
-0.60277748,-0.003314456
-0.39003506,-0.003314456
0.080873378,-0.003314456
0.15933484,0.15324846
-0.13293563,-0.003314456
-0.26533592,0.1153184
0.5650053,-0.003314456
0.45619699,0.072818071
0.45038128,0.091393225
-0.56338573,-0.073127769
0.087568514,-0.003314456
-0.29515803,-0.003314456
0.52406013,-0.003314456
0.46783945,0.13794956
0.64815891,-0.021165684
-0.24297704,-0.016160022
0.97140461,0.16754319
1.6763039,0.041685618
0.19005129,-0.003314456
0.80929643,0.050767012
-0.37483388,0.056982372
0.6443783,0.10175886
0.28995493,-0.045070022
0.32922485,-0.060038105
-0.27085724,-0.003314456
-0.27085724,-0.003314456
0.13740937,0.076714203
1.6081369,-0.003314456
1.3391137,0.04907592
-0.35445154,-0.003314456
0.40815482,0.009005126
0.44063362,-0.29534313
-0.2700468,0.00813477
1.1356463,0.13846728
-0.27378714,-0.19063534
1.4191526,0.41555092
0.32279795,0.015189066
0.79515827,0.10049342
-0.44823995,-0.038231384
-0.44323057,-0.003314456
-0.51850212,-0.075353973
2.5078719,-0.003314456
0.15294278,-0.007309889
1.0888509,0.10812561
-0.55275273,-0.11806688
1.2745539,0.4305985
0.37871128,-0.003314456
0.68662536,-0.003314456
1.0563425,0.084574819
-0.68738216,-0.017677249
0.12407081,-0.12328299
-0.079148076,-0.015112919
0.27168745,-0.13180831
-0.42010891,-0.003314456
0.34736827,0.024697207
0.34736827,0.024697207
-1.5309892,-0.14915761
-0.62282205,-0.003314456
-0.39206871,-0.003314456
0.10517812,0.002816709
0.40442342,0.064272195
0.57866222,0.033054478
1.5119621,-0.15395409
0.14233001,0.057369016
0.095669739,-0.003314456
-0.54420251,0.001020599
0.86474073,0.18194154
0.067497201,-0.3958618
-0.20607609,-0.3958618
0.70211232,-0.073810689
0.087554611,-0.003314456
-0.53825587,0.038043525
0.31006518,-0.042436115
0.080695972,0.024699895
-0.17870229,-0.003314456
-0.17870229,-0.003314456
0.29948053,0.009783244
0.47976494,0.12812021
0.19849274,0.024739053
0.32763827,0.012785802
0.28970787,0.006301183
-0.035568535,-0.003314456
-0.16909356,-0.053393207
0.49034244,0.076632783
0.62383658,-0.003314456
0.39954054,-0.003314456
0.54074538,0.1346346
0.28902808,0.028333753
0.40407225,-0.003314456
0.63216197,0.073040761
-0.082450047,0.022571817
0.29361206,-0.001095669
0.070749879,-0.003314456
0.52279383,-0.003314456
-0.064790003,-0.035903241
-0.23658405,-0.003314456
0.82028306,-0.003314456
1.1223401,-0.000646164
1.0635349,0.019424185
0.35931119,-0.003314456
-0.18935716,-0.003314456
-0.34927118,-0.003314456
0.092457831,0.016925205
-0.67857903,-0.1650081
-0.067605056,-0.04146881
0.1014307,-0.050826661
0.067919686,-0.00704169
0.17790417,-0.032164838
0.49712428,-0.061515953
0.38115525,0.013262369
0.65888822,-0.070393667
0.58881766,0.009453016
0.048092436,-0.003314456
0.18292111,-0.003314456
0.31964758,0.017893925
0.18688434,-0.003314456
-0.18876396,-0.003314456
-0.16446577,-0.003314456
0.35676748,-0.003314456
0.31360593,-0.03064217
-0.20578633,-0.078569539
0.004232687,0.059051059
0.47353142,0.059051059
-2.17712,-0.096694112
0.085606821,0.06269107
0.42437801,0.00766402
0.73390269,-0.01301868
0.019749088,-0.003314456
0.40611157,-0.003314456
0.29057503,-0.003314456
0.52815217,-0.003314456
0.66948348,-0.003314456
0.77870613,0.078824542
-0.45126009,-0.003314456
-0.45126009,-0.003314456
0.35720402,-0.21578227
0.98491764,-0.003314456
0.11681035,0.000821526
-0.14202403,-0.003314456
0.41567805,-0.003314456
0.4077912,-0.015874682
0.10918617,0.005901726
0.65410781,0.039290465
0.73051292,-0.003314456
-0.26563171,-0.084036373
-0.24938098,-0.11645514
0.81554693,0.006966469
0.18514974,0.003123747
1.1078973,0.009404826
0.60842019,-0.003314456
0.3943924,-0.003314456
0.87087703,0.057451647
-0.26879296,-0.099179104
0.7859717,-0.003314456
0.36733186,-0.10163755
0.14482953,-0.003314456
0.14482953,-0.003314456
0.38644224,0.13327684
0.25762275,-0.16935326
-0.68997079,-0.003314456
1.0127116,0.023168312
1.3247837,-0.003314456
0.24646974,-0.003314456
0.3077414,-0.038097743
0.84596133,0.023840215
0.69508982,-0.041230813
0.84811544,-0.006565788
0.55210161,0.12847951
1.1542434,0.056084376
0.1300905,-0.003314456
0.92891347,0.051682193
-0.13627046,-0.024064887
0.096638657,-0.00687792
-0.22202286,-0.010461672
0.31887871,-0.003314456
-0.22463447,-0.033179097
0.015387629,-0.033179097
0.76096439,-0.010475887
0.23157768,-0.074140094
-1.2285484,-0.12577975
-0.31768894,-0.003314456
0.23629504,-0.029729765
-0.34131131,-0.003314456
0.50024265,0.20770025
-0.20427719,-0.15560076
0.095379464,-0.003314456
0.73300439,0.018764082
-0.004998022,-0.017040573
0.15659688,-0.43983579
-0.11019104,0.008050703
-0.51719964,-0.18259449
-0.8327049,-0.003314456
0.005833988,-0.12609552
0.21155395,0.031801488
0.21155395,0.031801488
0.002946854,0.050550289
-0.40534252,-0.003314456
-0.40877253,-0.0670733
-0.21562287,-0.00477559
-0.34823358,-0.007840686
0.081760384,-0.071627304
0.45488578,-0.021470558
-0.13855498,-0.003314456
0.53962106,0.10799979
0.53619105,0.097995885
-0.23971513,-0.003314456
0.28001463,-0.003314456
-0.50234807,-0.046254646
0.1316523,-0.14810909
0.59939235,-0.003314456
-0.076761566,-0.13970019
-0.21962978,-0.007427575
-0.043598156,-0.055044726
-0.010643186,-0.078074932
0.42616388,0.015874792
-0.63675672,-0.030071136
0.29968545,0.097505927
0.45802766,0.026037503
-0.47668487,-0.003314456
0.3593089,-0.029085893
-0.14534025,-0.084385529
-0.046598177,0.017034896
-0.66132081,-0.003314456
-0.9070521,-0.098729819
-0.083943702,0.009025359
1.2228978,0.070774302
0.29652101,-0.001328939
-0.21821699,-0.049568128
-0.097765557,-0.003314456
0.45465386,-0.003314456
-0.051598366,-0.003314456
0.29522872,-0.026357647
0.37512377,-0.031648554
-0.29757422,-0.003314456
-0.072554581,-0.033747125
1.6076289,-0.003314456
-0.50831318,-0.012846954
0.080409102,-0.003314456
0.80753464,-0.003314456
0.71265614,0.15451834
0.53654665,-0.10670538
-0.49722233,-0.050360546
-1.2224973,0.064443409
0.44466257,-9.52323E-05
0.10442476,-0.057808161
0.48380443,0.000308549
-0.19586463,-0.003314456
0.27834517,-0.081054345
0.027269267,-0.057642449
-0.99409193,0.16525038
0.18896537,0.00562611
0.6184327,-0.40432814
0.57600659,-0.00029488
0.12943938,-0.045483433
0.37870815,0.015380461
-0.2911489,-0.046267901
1.2534124,0.062882803
0.25563014,0.037064224
0.32505476,0.037064224
0.31020552,0.039135937
-0.16808306,-0.016284192
-0.37365064,0.00121875
0.18225013,0.04143519
-0.072836705,-0.57155222
0.6519227,0.11375476
0.32200211,-0.022058824
0.4147017,-0.003314456
1.1125691,-0.003314456
0.4430438,-0.012518088
-0.2006475,-0.018827626
0.11346191,-0.19351262
0.33994615,0.047089685
0.59068817,-0.003036794
0.53229815,-0.003314456
-0.52068597,0.016579526
0.71376944,-0.003314456
-0.18632011,-0.003314456
0.097773433,0.019723793
0.061895043,-0.003314456
0.60248154,-0.080442272
-0.33715054,-0.0021174
0.47387314,-0.005306382
-0.316585,-0.088149637
0.22950554,0.027470859
0.44915822,0.052594364
-0.86769199,-0.003314456
-0.017914804,-0.003314456
0.10270831,-0.050909672
-0.10720371,-0.048310343
0.56380975,-0.040543593
-0.26850134,-0.031923432
-0.11726518,0.025292175
0.60115844,-0.047257178
0.49068642,-0.05172829
-0.57052261,-0.020058846
0.36445734,-0.2773619
-0.2103609,0.016728861
0.21878836,-0.071636796
0.31823358,-0.003314456
-0.15754198,0.10097656
0.073768042,0.10097656
-0.40112093,-0.013066649
0.5196768,0.12047976
0.57303703,0.10304695
0.33849552,-0.003314456
-0.24207646,0.023043009
0.50906187,-0.009145355
-0.47474673,-0.042169303
0.89985985,-0.003314456
-0.26583928,0.027964415
0.32180691,0.067893669
0.066379629,-0.21804814
-0.096389338,-0.21804814
-0.43706262,-0.003314456
-0.16306345,-0.003314456
-0.42196906,0.080363408
0.45201513,0.072932616
-0.41032517,0.24722543
-0.047482867,0.082348093
-0.13777122,-0.011760969
0.75440174,0.17254791
1.000679,0.088878334
0.64220226,0.058075681
-0.23438913,0.032251846
0.078490518,-0.002828387
-0.13607341,0.073217802
0.01013869,-0.003314456
0.49519208,-0.032622188
0.24705206,0.06962321
0.10371524,0.001165503
1.0913595,0.10978548
0.87660623,0.032683782
0.60304099,0.003685063
0.76751238,-0.049759176
0.92533672,-0.049759176
