pidp,eta_hat,wgt
261125,-1.128003402,2.678613424
280165,-0.555790261,1.172166824
280165,-0.227194338,1.141311169
280165,0.461120238,1.137828827
280165,0.219373369,1.40554595
280165,0.194782642,1.356988311
280165,0.41442519,1.327741981
280165,0.637718252,1.335175633
280165,-0.648153392,1.263660192
280165,-0.069715392,1.194545984
813285,0.003536647,1.235620141
813285,0.066043672,1.265702963
813285,-0.096729317,1.266677022
813285,0.049879126,1.428613067
813285,-0.066865639,1.34817028
813285,-0.078963044,1.323919892
813285,0.026099823,1.309846401
813285,0.089516153,1.26978147
813285,-0.132672475,1.264527202
813285,0.120999571,1.273656011
813285,0.071069408,1.256053448
956765,-0.290494823,1.375665903
956765,0.333611767,1.358547688
956765,1.511497678,1.358979464
956765,-0.03840967,1.667930126
956765,0.258926854,1.703902125
956765,-0.392075986,1.690910816
956765,-0.48253187,1.677396178
956765,-0.218082268,1.613441586
956765,0.483662543,1.571254015
956765,-0.125151729,1.515404582
956765,-0.259485661,1.50092411
2665605,0.038685197,0.787945807
2665605,0.582510186,0.818365514
2665605,-0.502210101,0.821537733
2665605,-0.157464369,0.836302161
2665605,-0.128068265,0.803288639
2665605,0.19112387,0.788790584
2665605,-0.020224791,0.814073801
2665605,-0.004017375,0.814701676
2853965,-0.345475748,1.148139834
2853965,0.470771832,1.163072705
2853965,0.204195932,1.176391006
2853965,0.069807834,1.784163117
2932845,0.091309619,1.204275727
68004087,-0.349877334,1.206537724
68004087,-0.152373627,1.177914262
68004087,0.006341572,1.121256232
68004087,-0.070831328,1.079630971
68004087,0.062992703,0.70383662
68004087,-0.049327883,0.661333382
68004087,0.27984973,0.63168937
68004087,-0.085934637,0.604498625
68006127,0.570687013,1.341220021
68006127,0.149715052,1.456251979
68006127,-0.367537607,1.712116838
68006127,0.283109897,1.765008926
68006127,-0.403584083,1.647405744
68006127,0.456745488,1.739369154
68006127,0.11548021,1.889168859
68006127,-0.49966962,1.898110747
68006127,-0.221309426,1.891468167
68006139,0.681754129,1.266574979
68006139,0.187717684,1.499686003
68006139,-0.223783641,1.967522502
68006139,0.18843302,2.225245714
68006139,-0.392845572,1.668178201
68006807,0.138213415,1.134484768
68006807,-0.370087606,1.139597297
68006807,-0.492017849,1.126342058
68006807,0.037988519,1.105426192
68006807,-0.687511913,1.164357901
68006807,0.58147422,1.152216554
68006807,0.421357771,1.15654707
68007487,1.015045584,1.330557704
68007487,0.202200295,1.343748212
68007491,0.987783539,1.260493994
68007491,0.241170662,1.272989988
68007499,1.00521765,1.775944471
68008847,-0.176969763,1.046976686
68008847,-0.318988991,1.004930615
68008847,0.079252679,0.971332967
68008847,-0.01716665,0.930851638
68008847,-0.015707905,1.049686193
68008847,0.014391544,1.027977943
68008847,-0.618270373,1.007491112
68008847,0.345923041,0.972444355
68008847,0.187876962,0.97319448
68008847,0.21468646,1.107365131
68008847,0.26814973,1.11776793
68008847,0.125675611,1.11085546
68009527,2.347673581,1.289221048
68009527,1.245066258,1.236620188
68009527,0.816923844,1.182834983
68009527,0.407060912,1.152773142
68009527,0.13221786,1.259225845
68009527,-0.178941125,1.192221045
68009527,-0.206350941,1.124933004
68009527,-0.317688553,1.072345734
68009527,-0.867140044,1.073172927
68009527,-0.566293286,1.068732262
68009527,-0.602287225,1.012415767
68009527,-0.398943462,0.973989487
68010887,-0.226917591,1.470278144
